text,label,first_piece,second_piece
"In California, where personal income taxes account for about 70% of the state’s general fund revenue, a year-over-year increase of 35.2% last month made up for lagging revenue from the tax in December and January, according to H.D. Palmer, a spokesman for the state’s finance department.",0 (not biased),"In California, where personal income taxes account for about 70% of the state’s general fund revenue, a year-over-year increase of 35.2% last month made up for lagging revenue from the tax in December and January, according to H.D.","Palmer, a spokesman for the state’s finance department."
"Victims of the violence endured potentially life-threatening injuries D.C. fire spokesman Doug Buchanan told The Washington Post. D.C. Police Chief Peter Newsham told protesters: ""We're doing the best we can."" ",0 (not biased),Victims of the violence endured potentially life-threatening injuries D.C. fire spokesman Doug Buchanan told The Washington Post.,"D.C. Police Chief Peter Newsham told protesters: ""We're doing the best we can."""
"But last Wednesday, when the Heritage Clinic for Women in Grand Rapids, Michigan, opened in the morning, the staff were startled to find 25 to 30 protesters assembling, many of them holding single red roses. Ignoring the no-trespassing signs, they began swarming the clinic’s parking lot, rushing patients as they got out of their cars.",0 (not biased),"But last Wednesday, when the Heritage Clinic for Women in Grand Rapids, Michigan, opened in the morning, the staff were startled to find 25 to 30 protesters assembling, many of them holding single red roses.","Ignoring the no-trespassing signs, they began swarming the clinic’s parking lot, rushing patients as they got out of their cars."
"President Donald Trump and Congress are taking official action to honor the passing of Rev. Billy Graham last Wednesday, through a presidential proclamation and the announcement that Graham’s body will lie in honor in the U.S. Capitol—only the fourth private citizen in American history to receive such honors.",0 (not biased),President Donald Trump and Congress are taking official action to honor the passing of Rev.,"Billy Graham last Wednesday, through a presidential proclamation and the announcement that Graham’s body will lie in honor in the U.S. Capitol—only the fourth private citizen in American history to receive such honors."
The protestors reportedly are demanding that  Gov. Andrew Cuomo hike taxes on the state’s billionaires to make up for the revenue shortfall created by the Chinese coronavirus pandemic. ,0 (not biased),The protestors reportedly are demanding that  Gov.,Andrew Cuomo hike taxes on the state’s billionaires to make up for the revenue shortfall created by the Chinese coronavirus pandemic.
"Before we get to work dispensing these arguments, it’s important to acknowledge that they are, on some level, understandable. A lot of Americans, especially those who got their bachelor’s degree before the early 2000s, find it baffling that younger generations can’t work their way through college.",0 (not biased),"Before we get to work dispensing these arguments, it’s important to acknowledge that they are, on some level, understandable.","A lot of Americans, especially those who got their bachelor’s degree before the early 2000s, find it baffling that younger generations can’t work their way through college."
"President Donald Trump says that voting by mail is “horrible” and “corrupt” because the “tremendous potential for voter fraud” helps Democrats win elections. But county-level election supervisors in his home state of Florida — where he recently cast a vote for himself, by mail — disagree, and are doing everything they can to ensure this crucial swing state can hold a safe election during the coronavirus pandemic.",0 (not biased),President Donald Trump says that voting by mail is “horrible” and “corrupt” because the “tremendous potential for voter fraud” helps Democrats win elections.,"But county-level election supervisors in his home state of Florida — where he recently cast a vote for himself, by mail — disagree, and are doing everything they can to ensure this crucial swing state can hold a safe election during the coronavirus pandemic."
"Two years ago, America’s white nationalist movement stunned the country. Neo-Nazi demonstrations in Charlottesville, Virginia, had turned deadly when a far-right protester drove a car through a crowd, killing one and injuring dozens.",0 (not biased),"Two years ago, America’s white nationalist movement stunned the country.","Neo-Nazi demonstrations in Charlottesville, Virginia, had turned deadly when a far-right protester drove a car through a crowd, killing one and injuring dozens."
Two Democrats -- state Sens. Creigh Deeds and Chap Petersen -- joined with Republicans to defeat the measure.,0 (not biased),Two Democrats -- state Sens.,Creigh Deeds and Chap Petersen -- joined with Republicans to defeat the measure.
"Japan is facing a major challenge, with the public skeptical the Olympics can take place — or should take place. Japan has already invested billions, and the delay is likely to cost billions more.",0 (not biased),"Japan is facing a major challenge, with the public skeptical the Olympics can take place — or should take place.","Japan has already invested billions, and the delay is likely to cost billions more."
"That the Secret Service takes precautions to protect the president in a time of chaos is, in itself, to be expected. But the contrast between Trump’s chest-thumping and the fact that he was cowering in the basement was objectively funny.  Unsurprisingly, a lot of people made fun of him, and he didn’t like it.",1 (biased),"That the Secret Service takes precautions to protect the president in a time of chaos is, in itself, to be expected. But the contrast between Trump’s chest-thumping and the fact that he was cowering in the basement was objectively funny.","Unsurprisingly, a lot of people made fun of him, and he didn’t like it."
"For that matter, Christianity is equally anti-suicide. And yet, the Christian Right and many of President Donald Trump’s far-right white evangelical supporters have been encouraging behavior that is suicidal. ",1 (biased),"For that matter, Christianity is equally anti-suicide.","And yet, the Christian Right and many of President Donald Trump’s far-right white evangelical supporters have been encouraging behavior that is suicidal."
"The same goes for Govs. Gavin Newsom, Andrew Cuomo, Jay Inslee, and every other Wuhan virus Karen issuing diktats from on high.",1 (biased),The same goes for Govs.,"Gavin Newsom, Andrew Cuomo, Jay Inslee, and every other Wuhan virus Karen issuing diktats from on high."
The backlash by health-care professionals and science advocates was immediate and widespread. And for good reason.,1 (biased),The backlash by health-care professionals and science advocates was immediate and widespread.,And for good reason.
"Yet the drumbeat for censorship goes on as the politicians whose ideas find favor with the mainstream media want to make sure theirs are the only ideas you ever get to hear. Today it will be about money, but only because money is the means to spread ideas.",1 (biased),Yet the drumbeat for censorship goes on as the politicians whose ideas find favor with the mainstream media want to make sure theirs are the only ideas you ever get to hear.,"Today it will be about money, but only because money is the means to spread ideas."
"During the campaign, it was clear that much of the momentum behind NeverTrump was driven by narcissism, as well as by self-interest. NeverTrump gambled on a Hillary Clinton victory, preparing to blame Trump supporters and hoping to take revenge.",1 (biased),"During the campaign, it was clear that much of the momentum behind NeverTrump was driven by narcissism, as well as by self-interest.","NeverTrump gambled on a Hillary Clinton victory, preparing to blame Trump supporters and hoping to take revenge."
"The bureaucrats and local would-be dictators concocting their various plans to protect us all from each other have to be relieved of their power or the police state will be permanent. So how did we get here, and how do we reclaim our liberty and the right to take risks to survive?",1 (biased),The bureaucrats and local would-be dictators concocting their various plans to protect us all from each other have to be relieved of their power or the police state will be permanent.,"So how did we get here, and how do we reclaim our liberty and the right to take risks to survive?"
"The president has failed miserably at handling the first serious challenges of his presidency: COVID-19 and the racial justice protests, Conway charged. They have not only revealed the incompetence of the “failing, flailing” president, but his inhumanity as well, Conway argued.",1 (biased),"The president has failed miserably at handling the first serious challenges of his presidency: COVID-19 and the racial justice protests, Conway charged.","They have not only revealed the incompetence of the “failing, flailing” president, but his inhumanity as well, Conway argued."
"Yes Trump and the right are embracing and celebrating death. It is ghoulish. It is also one more illustration that the Age of Trump is an American dystopia where what was previously unimaginable (for most decent people) has become ""normal.""",1 (biased),Yes Trump and the right are embracing and celebrating death. It is ghoulish.,"It is also one more illustration that the Age of Trump is an American dystopia where what was previously unimaginable (for most decent people) has become ""normal."""
President Donald Trump clearly wasn’t pleased on Wednesday when he learned that his former Defense Secretary James Mattis had spoken out against him. So the president responded in his usual and predictable way: lashing out on Twitter.,1 (biased),President Donald Trump clearly wasn’t pleased on Wednesday when he learned that his former Defense Secretary James Mattis had spoken out against him.,So the president responded in his usual and predictable way: lashing out on Twitter.
